"","nb_potential_bs","nb_barrels_pbs","nb_containers_under_200_L_pbs","nb_containers_over_200_L_pbs","nb_wells_pbs","nb_green_plants_pbs","nb_other_plants_pbs","nb_large_volumes_pbs","nb_tires_pbs","nb_small_waste_pbs","nb_big_waste_pbs","nb_watercraft_pbs","nb_buildings_materials_pbs","nb_manholes_pbs","nb_protection_pbs","nb_troughs_pbs","nb_pit_pbs","nb_canals_pbs","nb_gutters_pbs","nb_others_pbs","nb_containers_pbs","nb_plants_pbs","nb_waste_pbs","nb_WMI_pbs","C1B201_mean","C2B201_mean","C3B201_mean","h_vegetation_mean","h_buildings_mean","ndwi_P_mean","ndvi_P_mean","lm_vegetation_ca","lm_vegetation_contig_mn","lm_vegetation_cpland","lm_vegetation_lpi","lm_vegetation_lsi","lm_vegetation_pd","lm_vegetation_shape_mn","lm_buildings_ca","lm_buildings_contig_mn","lm_buildings_cpland","lm_buildings_lpi","lm_buildings_lsi","lm_buildings_pd","lm_buildings_shape_mn","number_buildings","mean_size_buildings"
"1",8,1,0,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,3,1,1,-0.754642028361559,-1.01712733507156,-0.389549694955349,4.80122446739563,3.78245052364528,0.0526794910853453,0.641840541770123,2.73288442781537,0.45637727160224,83.1654256095781,96.8608555993576,4.90361445783132,512.279255482142,1.47069124083803,0.108490212667729,0.671229173562838,58.4558823529412,58.4558823529412,2.84848484848485,4608.71066343414,1.36264974202476,5,85.4836442
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.26091355085373,-1.40118171274662,-0.24716330319643,4.33968433523351,4.21882444488869,-0.0322034713548413,0.669657047187164,2.87812751902939,0.424522095687725,82.7117704145293,51.920144184112,5.21764705882353,347.448121526331,1.65270082692378,0.325071776927203,0.780068704064402,62.4539877300613,29.6932515337423,4.1551724137931,2153.37057746714,1.62136542952152,10,183.7408068
"3",4,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2.38862617313862,-2.21368312835693,-0.73433261923492,6.19249619160486,4.57357215088361,0.0607618379865142,0.577989012987074,2.11839442652531,0.489759622180785,74.1005839141081,57.4307779242795,6.56849315068493,613.672309425551,1.74989470680125,0.201025982296086,0.806048128007239,59.1269841269841,18.0555555555556,3.66666666666667,3979.58508080662,1.3010278075432,8,219.731242375
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7629759311676,-2.34872275590897,-4.93121549114585,0.218785253213504,6.93561975612868,0.0941191668011846,0.48005917722711,1.79399158818191,0.543990322292638,74.2660142348755,49.288256227758,6.22962962962963,1003.34918617103,1.68328857787728,0.405641714276031,0.738886481224171,69.7148475909538,53.5889872173058,3.71875,1725.66078725243,1.52087527274795,9,373.418879
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.26666933298111,-0.752361662685871,0.200055126100779,1.55792155664871,3.41442863490041,0.0331199340455136,0.535552613737946,2.7372736421103,0.675902575384489,76.1516034985423,37.4052478134111,6.90361445783132,365.327011744814,2.10580973425022,0.478234430105173,0.741324711687524,57.9649708090075,9.67472894078399,5.78571428571429,4600.25431359297,1.28395367507073,20,207.18474235
"6",91,0,0,0,0,0,0,1,0,0,0,0,90,0,0,0,0,0,0,0,0,0,90,0,-0.977883736292521,-0.937339325745901,-1.40066540241241,13.4263251672986,0,-0.0946045220769738,0.754515975889564,1.98352584182658,0.906827544102686,89.8410782538725,88.4127942063971,2.3169014084507,151.245823812277,1.65758205919074,0,0,0,NA,NA,NA,NA,0,NA
"7",9,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,-0.914259418845177,-2.023881316185,0.322681829333305,2.70361846384062,3.26884442989115,0.0315649480876473,0.620783249339554,3.25081171461708,0.543057738829476,84.1536761998281,75.6720265128268,4.83977900552486,184.569286895989,1.8309507193719,0.264843754453574,0.700857122006386,58.1325301204819,17.0180722891566,4.44230769230769,4908.55448972985,1.28854485283964,10,175.6385231
"8",13,0,8,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,8,2,2,1,0.383610405027866,-1.34063609456643,-1.04423781484365,7.48221690386749,4.65840146461923,-0.0440744261951302,0.693257687210617,2.67941581731357,0.547552717280517,82.3231571109456,99.0022338049144,4.8780487804878,149.286272558116,2.13534535272697,0.274815281353159,0.794218036676052,67.0537010159652,38.8969521044993,3.50943396226415,2547.16548713478,1.37727477306185,5,474.1105582
"9",5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,-0.860377997159958,-2.64383484423161,-0.868527378886938,0.658195262613937,6.82491277012271,0.0568927110712009,0.577925116850436,2.71053933685943,0.565589946584924,84.263212130134,86.6774620933314,4.20606060606061,258.251186574202,1.80526090916895,0.247692728186249,0.670720616462959,69.5652173913043,65.7004830917874,2.82,3229.80818152421,1.23653474528959,5,82.6423944
"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.992717504501343,-1.80359241366386,2.01491561532021,8.66951904966396,4.87685512381774,0.0208440462290401,0.188448422397871,0.639628228615571,0.600341109764886,83.8427947598253,97.2551466001248,2.20987654320988,625.363269012956,1.39028021350792,0.0534473841818959,0.659887566137566,49.2537313432836,94.0298507462687,2.125,3741.99791180324,1.5588870421383,2,15.138579
"11",15,0,0,1,0,0,0,0,6,1,1,5,0,0,0,0,0,0,0,1,1,0,13,0,1.83627063035965,-2.14275687932968,1.4862681850791,2.78256410718322,3.8315446818953,0.100308011015709,0.429856494771372,0.852704631660309,0.528341886820893,59.1015442208704,20.1684604585868,6.96774193548387,3987.31269159384,1.33265278558262,0.421995018391353,0.673777118765514,64.8393194706994,17.3913043478261,3.96969696969697,2843.63546416829,1.31263117138099,9,330.769860444444
"12",3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-2.04879997173945,0.110975913703442,0.274611242115498,14.2486109190619,4.12742389711201,-0.0373947787866906,0.622833012862791,0.774895832795657,0.636175036645627,66.5808444902163,61.4830072090628,5.33707865168539,516.198414123465,2.36221456594661,0.260456282617746,0.698768425446369,67.5344563552833,21.4395099540582,3.5,3071.5327423071,1.33272139378348,6,297.867412166667
"13",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2.55795377492905,-0.967139413580298,-0.576737605035305,4.23100572716433,3.80712277421868,-0.0183961127490355,0.703588146368042,3.53571162430603,0.64604510202545,88.398600609412,99.9210021442275,3.32275132275132,56.5656991438759,2.37273346148365,0.184273817104746,0.779366853030715,53.2467532467532,19.6969696969697,3.48837209302326,4341.36554269813,1.25687468756207,8,134.484193
"14",2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.32636600732803,-1.08384889736772,-0.532771170139313,7.57817978180516,4.724922751339,0.00774873621648003,0.680065387144165,2.34423945297347,0.398374713770115,83.8297872340426,99.3872340425532,4.19480519480519,255.946549845388,1.6426860937754,0.187065844636621,0.701718440678041,50.5330490405117,19.8294243070362,4.18181818181818,5880.28243283414,1.31533907205127,10,172.689268
"15",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.847290337085724,-1.78727169334888,0.258595657534897,1.67918149339342,4.02749921628381,0.00293713454592476,0.663951649901143,3.21809211714571,0.468594990079365,83.5709857408555,99.9876007439554,4.93333333333333,62.1486249366255,2.96432889062007,0.316296833255548,0.76049005993705,57.8814627994956,13.2408575031526,4.94736842105263,4426.22199403712,1.34284949549281,14,210.916020714286
"16",22,0,8,0,0,7,0,1,5,0,0,0,0,0,0,1,0,0,0,0,8,7,5,1,0.116280136629939,-2.27502366900444,-0.601090028882027,1.74266621501254,5.16995804227198,0.026208743083507,0.677382929245709,3.02097649335526,0.398732235772844,81.2310130762119,99.3131686699247,5.43428571428571,198.611277287235,1.97332297704473,0.289174280088616,0.721663939139275,60,17.3793103448276,4.2962962962963,4149.74664977904,1.29101860906414,11,188.708358
